1/1000000,1.0181779699269521e8,1.727671663120645e-11
1/1000000,1.1681328709566996e8,1.3349049029067228e-11
1/1000000,1.3180877719864468e8,6.7340391427082205e-12
1/1000000,1.468042673016194e8,6.7340391427082205e-12
1/1000000,1.6179975740459415e8,5.805920748804288e-12
1/1000000,1.767952475075689e8,5.805920748804288e-12
1/1000000,1.917907376105436e8,5.805920748804288e-12
1/1000000,2.0678622771351835e8,5.805920748804288e-12
1/1000000,2.217817178164931e8,5.8131384926667276e-12
1/1000000,2.3677720791946784e8,6.146851452958842e-12
1/1000000,2.5177269802244258e8,5.369243002375182e-12
1/1000000,2.667681881254173e8,4.873537329475141e-12
1/1000000,2.81763678228392e8,4.4024928008414416e-12
1/1000000,2.967591683313668e8,3.946856336151746e-12
1/1000000,3.117546584343415e8,3.532560467165268e-12
1/1000000,3.267501485373162e8,3.330265612782423e-12
1/1000000,3.41745638640291e8,3.1338213979656475e-12
1/1000000,3.5674112874326575e8,2.759499631698849e-12
1/1000000,3.7173661884624046e8,2.5813553481620604e-12
1/1000000,3.867321089492152e8,2.4156011277329205e-12
1/1000000,4.0172759905218995e8,2.249385953214406e-12
1/1000000,4.1672308915516466e8,2.0892205299413227e-12
1/1000000,4.317185792581394e8,1.9349390975370707e-12
1/1000000,4.4671406936111414e8,1.7868732474522753e-12
1/1000000,4.6170955946408886e8,1.6396365552516503e-12
1/1000000,4.7670504956706357e8,1.5087551509362246e-12
1/1000000,4.9170053967003834e8,1.5087551509362246e-12
1/1000000,5.0669602977301306e8,1.3788576234071469e-12
1/1000000,5.2169151987598777e8,1.2549251448458215e-12
1/1000000,5.3668700997896254e8,1.2549251448458215e-12
1/1000000,5.516825000819373e8,1.1370457305914461e-12
1/1000000,5.66677990184912e8,1.1370457305914461e-12
1/1000000,5.816734802878867e8,1.0252355577737394e-12
1/1000000,5.966689703908615e8,9.193501315785367e-13
1/1000000,6.116644604938362e8,9.193501315785367e-13
1/1000000,6.266599505968109e8,9.193501315785367e-13
1/1000000,6.416554406997857e8,8.195537555675289e-13
1/1000000,6.566509308027604e8,8.195537555675289e-13
1/1000000,6.716464209057351e8,7.287851460321903e-13
1/1000000,6.866419110087099e8,7.287851460321903e-13
1/1000000,7.016374011116847e8,6.40441823590923e-13
1/1000000,7.166328912146593e8,6.40441823590923e-13
1/1000000,7.316283813176341e8,6.40441823590923e-13
1/1000000,7.466238714206089e8,5.578410995300927e-13
1/1000000,7.616193615235835e8,5.578410995300927e-13
1/1000000,7.766148516265583e8,5.578410995300927e-13
1/1000000,7.916103417295331e8,5.578410995300927e-13
1/1000000,8.066058318325077e8,4.80790452457023e-13
1/1000000,8.216013219354825e8,4.80790452457023e-13
1/1000000,8.365968120384573e8,4.80790452457023e-13
1/1000000,8.515923021414319e8,4.096356806187018e-13
1/1000000,8.665877922444067e8,4.096356806187018e-13
1/1000000,8.815832823473815e8,4.096356806187018e-13
1/1000000,8.965787724503561e8,4.096356806187018e-13
1/1000000,9.115742625533309e8,4.824372268863966e-13
