1/1000000,1.0181779699269521e8,2.5813553481620604e-12
1/1000000,2.5048031795549148e8,1.2549251448458215e-12
1/1000000,3.9914283891828775e8,7.287851460321903e-13
1/1000000,5.47805359881084e8,4.80790452457023e-13
1/1000000,6.964678808438803e8,3.4442480908315293e-13
1/1000000,8.451304018066765e8,6.665387392933974e-14
1/1000000,9.937929227694728e8,6.325354650600766e-14
1/1000000,1.1424554437322693e9,6.18604858059071e-14
1/1000000,1.2911179646950655e9,6.098887693947619e-14
1/1000000,1.4397804856578617e9,6.098887693947619e-14
1/1000000,1.588443006620658e9,6.098887693947619e-14
1/1000000,1.7371055275834541e9,6.098887693947619e-14
1/1000000,1.8857680485462503e9,7.452248898864014e-14
1/1000000,2.0344305695090466e9,7.452248898864014e-14
1/1000000,2.1830930904718432e9,7.257317478577764e-14
1/1000000,2.3317556114346395e9,7.024328782263951e-14
1/1000000,2.4804181323974357e9,6.945489790539924e-14
1/1000000,2.629080653360232e9,6.826503273639969e-14
1/1000000,2.777743174323028e9,6.741501530381896e-14
1/1000000,2.9264056952858243e9,6.741501530381896e-14
1/1000000,3.0750682162486205e9,6.741501530381896e-14
1/1000000,3.223730737211417e9,6.741501530381896e-14
1/1000000,3.3723932581742134e9,7.912591160577269e-14
1/1000000,3.5210557791370096e9,Infinity
1/1000000,3.669718300099806e9,Infinity
1/1000000,3.818380821062602e9,Infinity
1/1000000,3.9670433420253983e9,Infinity
1/1000000,4.1157058629881945e9,Infinity
1/1000000,4.264368383950991e9,Infinity
1/1000000,4.413030904913787e9,Infinity
1/1000000,4.561693425876583e9,Infinity
1/1000000,4.710355946839379e9,Infinity
1/1000000,4.8590184678021755e9,Infinity
1/1000000,5.007680988764972e9,Infinity
1/1000000,5.156343509727768e9,Infinity
1/1000000,5.305006030690564e9,Infinity
1/1000000,5.45366855165336e9,Infinity
1/1000000,5.602331072616157e9,Infinity
1/1000000,5.750993593578953e9,Infinity
1/1000000,5.899656114541749e9,Infinity
1/1000000,6.048318635504545e9,Infinity
1/1000000,6.196981156467342e9,Infinity
1/1000000,6.345643677430139e9,Infinity
1/1000000,6.494306198392935e9,Infinity
1/1000000,6.642968719355731e9,Infinity
1/1000000,6.791631240318527e9,Infinity
1/1000000,6.940293761281323e9,Infinity
1/1000000,7.08895628224412e9,Infinity
1/1000000,7.237618803206916e9,Infinity
1/1000000,7.386281324169712e9,Infinity
1/1000000,7.534943845132508e9,Infinity
1/1000000,7.6836063660953045e9,Infinity
1/1000000,7.832268887058101e9,Infinity
1/1000000,7.980931408020897e9,Infinity
1/1000000,8.129593928983693e9,Infinity
1/1000000,8.278256449946489e9,Infinity
1/1000000,8.4269189709092865e9,Infinity
1/1000000,8.575581491872083e9,Infinity
1/1000000,8.724244012834879e9,Infinity
1/1000000,8.872906533797674e9,Infinity
1/1000000,9.021569054760471e9,Infinity
1/1000000,9.170231575723267e9,Infinity
1/1000000,9.318894096686064e9,Infinity
1/1000000,9.467556617648859e9,Infinity
1/1000000,9.616219138611656e9,Infinity
1/1000000,9.764881659574453e9,Infinity
1/1000000,9.913544180537249e9,Infinity
1/1000000,1.0062206701500046e10,Infinity
1/1000000,1.0210869222462841e10,Infinity
1/1000000,1.0359531743425638e10,Infinity
1/1000000,1.0508194264388433e10,Infinity
1/1000000,1.065685678535123e10,Infinity
1/1000000,1.0805519306314026e10,Infinity
1/1000000,1.0954181827276823e10,Infinity
